rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
1.0,1.0,1.0,a10_hybrid,1.0,215.9555102156107,0.9671726190476191,0.6586473069505183,4.200240563429563,1.0,414.3971190776342,0.9720833333333334,0.6324865853180359,5.706112728458891,1.0,527.7484959849561,0.9730208333333333,0.6052785445818119,6.5165940914896066
1.0,1.0,1.0,load_throttle,1.0,1278.4582455182408,0.9712500000000001,0.560376194246382,8.590579488966716,1.0,1664.5207186567877,0.9736458333333333,0.5595346679646727,9.599887108051549,1.0,2615.300885990507,0.9752083333333335,0.55899678238186,11.48125131448215
1.0,1.0,1.0,no_control,1.0,3380.5495317027585,0.9731994047619048,1.0000000000000162,13.497415876147032,1.0,4793.910346004552,0.9757291666666666,1.0000000000000162,15.705279001840553,1.0,7455.249916174909,0.9785416666666666,1.0000000000000162,18.816205341431793
1.0,1.0,1.0,pump_only,1.0,881.7673980895987,0.9695684523809524,1.0000000000000162,6.687824383010595,1.0,1391.9777951492442,0.97375,1.0000000000000162,8.023731698394535,1.0,1955.1716433974404,0.9755208333333334,1.0000000000000162,9.610856412455346
1.0,1.0,1.0,pump_radiator,1.0,712.5576092630854,0.9700892857142858,1.0000000000000162,6.140005837265312,1.0,971.2627324801243,0.9727083333333333,1.0000000000000162,7.101099107085373,1.0,1740.9302801229442,0.9769791666666666,1.0000000000000162,9.4439183689935
1.0,1.0,1.0,radiator_only,1.0,2692.9404649048083,0.9726339285714286,1.0000000000000162,11.751596843197197,1.0,3982.569069730775,0.9758333333333333,1.0000000000000162,13.91950252802383,1.0,5760.722847009096,0.9769791666666667,1.0000000000000162,16.174189292534557
1.0,1.0,2.0,a10_hybrid,1.0,181.7572353235403,0.9668749999999999,0.60670384656001,3.8944943986507568,1.0,282.3297822829893,0.9720833333333334,0.5816753284121703,5.012871465506846,1.0,449.4873531023102,0.9721875,0.5631818807104464,5.903994749591751
1.0,1.0,2.0,load_throttle,1.0,1160.0656043712404,0.971235119047619,0.5603673069294518,8.405973970092143,1.0,1407.1192599772376,0.9726041666666667,0.5599124004551237,9.10433616604908,1.0,2395.1176481481666,0.9754166666666667,0.558983651055271,11.048632834497877
1.0,1.0,2.0,no_control,1.0,3554.702413255008,0.9732142857142858,1.0000000000000162,13.727160131858255,1.0,5505.010881932393,0.9770833333333333,1.0000000000000162,16.900071595985963,1.0,8757.45529847421,0.9784375,1.0000000000000162,19.6659209363071
1.0,1.0,2.0,pump_only,1.0,967.0889536908586,0.9694047619047621,1.0000000000000162,6.852878746472482,1.0,1431.9993407896116,0.9742708333333334,1.0000000000000162,8.064422573168304,1.0,1934.2295930386194,0.9740625,1.0000000000000162,9.553695952896188
