rad_scale,transport_scale,storage_scale,best_a10_mode,regime,best_manage_failure,best_manage_CVaR95,best_manage_unsafe,best_manage_Y,best_manage_Tc95,best_frontier_failure,best_frontier_CVaR95,best_frontier_unsafe,best_frontier_Y,best_harsh_failure,best_harsh_CVaR95,best_harsh_unsafe,best_harsh_Y,a10v1_manage_failure,a10v1_manage_CVaR95,a10v1_manage_Y,a10v2_manage_failure,a10v2_manage_CVaR95,a10v2_manage_Y,no_control_manage_failure,no_control_manage_CVaR95,pump_radiator_manage_failure,pump_radiator_manage_CVaR95,pump_radiator_manage_unsafe,pump_radiator_manage_Y,regime_order,resource_score
24.0,12.0,1.0,a10_hybrid_v2,PASS-MISSION-FEASIBLE-SEPARATION,0.07142857142857142,8.470817388815084e-05,0.007470238095238095,0.9534100721478872,0.9139695731112794,0.75,0.007523757836904658,0.098125,0.9225951523454555,1.0,0.5206142266917434,0.29520833333333335,0.8945385107561172,0.14285714285714285,0.005239754927653048,0.8907868441333352,0.07142857142857142,8.470817388815084e-05,0.9534100721478872,1.0,17.27656065585929,0.35714285714285715,0.17890902449336615,0.12279761904761906,1.0000000000000162,0,36.5
24.0,12.0,2.0,a10_hybrid_v2,PASS-MISSION-FEASIBLE-SEPARATION,0.07142857142857142,0.00025496538834664744,0.007470238095238095,0.9540201920399382,0.9166537422005405,0.25,0.0019370606515793263,0.034166666666666665,0.9311930747820049,1.0,0.23750438169617594,0.27979166666666666,0.882099605854719,0.17857142857142858,0.0019574682569495545,0.8893281516618428,0.07142857142857142,0.00025496538834664744,0.9540201920399382,1.0,23.914772020710238,0.2857142857142857,0.20130667459930457,0.06999999999999999,1.0000000000000162,0,37.0
24.0,12.0,4.0,a10_hybrid_v2,PASS-MISSION-FEASIBLE-SEPARATION,0.07142857142857142,0.0017770734786734786,0.009791666666666667,0.9508689769488244,0.9176470914143862,0.25,0.005091994068991962,0.035625,0.9133091573896833,1.0,0.15826105925228054,0.181875,0.8477387598963445,0.14285714285714285,0.00069011008035593,0.8795445802045395,0.07142857142857142,0.0017770734786734786,0.9508689769488244,1.0,21.12870390831895,0.2857142857142857,0.2048285166892119,0.06738095238095237,1.0000000000000162,0,38.0
1.0,2.0,1.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,61.73681201330207,0.9549702380952381,0.8371474219087468,2.7525421839914292,1.0,99.24616945399144,0.9620833333333333,0.8156151559438694,1.0,155.4204307367733,0.965,0.7901868026784797,1.0,65.12232371226621,0.6952135788277489,1.0,61.73681201330207,0.8371474219087468,1.0,1457.6627403818932,1.0,203.43293713687768,0.9615476190476191,1.0000000000000162,4,3.5
1.0,2.0,2.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,38.095316897134886,0.9536011904761905,0.6548587945394246,2.452881278650683,1.0,74.21229630656214,0.9620833333333334,0.6015087971661368,1.0,179.01237655271402,0.9675,0.5682168903997401,1.0,38.095316897134886,0.6548587945394246,1.0,45.33824461179679,0.8009237393069407,1.0,1580.554606332131,1.0,227.08519940717648,0.9622023809523809,1.0000000000000162,4,4.0
2.0,2.0,1.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,38.46226950936256,0.953422619047619,0.842661640777906,2.478256394372925,1.0,71.48232162814112,0.9625,0.819813651058192,1.0,166.42477567200316,0.9679166666666668,0.7915934924520228,1.0,50.49273605821025,0.7056371652966424,1.0,38.46226950936256,0.842661640777906,1.0,1404.5616206358304,1.0,185.18652599859095,0.9622321428571429,1.0000000000000162,4,4.5
1.0,2.0,4.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,25.914052778514296,0.9480952380952381,0.6096128545675862,2.170492308569937,1.0,66.3244634432044,0.9622916666666667,0.5717511002883358,1.0,111.89089739091948,0.9645833333333333,0.5389324553359696,1.0,25.914052778514296,0.6096128545675862,1.0,35.76116226893377,0.7676454025109882,1.0,1282.661705054476,1.0,185.80345673405262,0.9608035714285714,1.0000000000000162,4,5.0
2.0,2.0,2.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,36.45454883291669,0.9539880952380952,0.8058843141355527,2.433152152750316,1.0,58.023335392588834,0.958125,0.7829123851223108,1.0,92.37370341545244,0.9610416666666666,0.7610502904644818,1.0,36.871967962998816,0.6586102518177249,1.0,36.45454883291669,0.8058843141355527,1.0,1416.5654812306905,1.0,178.81515060816372,0.9605059523809523,1.0000000000000162,4,5.0
1.0,4.0,1.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,18.648131333236506,0.9329166666666666,0.7563317471686343,1.945578738224786,1.0,26.703060511383377,0.9383333333333334,0.7361596538065098,1.0,61.30760548759779,0.9485416666666666,0.6885801409913348,1.0,18.648131333236506,0.7563317471686343,1.0,20.67863163279632,0.8655384323917689,1.0,498.93999241061266,1.0,77.81185080065238,0.9502678571428572,1.0000000000000162,4,5.5
1.0,4.0,2.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,11.219234469625665,0.9189583333333333,0.6904701691429749,1.7543117215184603,1.0,22.4621085163186,0.9360416666666667,0.6625925865289743,1.0,51.44565805187642,0.9502083333333333,0.6206175998847792,1.0,11.219234469625665,0.6904701691429749,1.0,16.032465574780783,0.825182332121701,1.0,473.30607420008766,1.0,79.37399534201896,0.9531845238095238,1.0000000000000162,4,6.0
2.0,2.0,4.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,20.413813116428184,0.9502083333333333,0.6120915363080657,2.087177696965073,1.0,34.583901933372985,0.9522916666666666,0.5823998214289724,1.0,77.50141494318343,0.965,0.5404674254619849,1.0,20.413813116428184,0.6120915363080657,1.0,24.30050833731526,0.7727337497587955,1.0,1218.5417117517009,1.0,185.14863938305157,0.9624107142857142,1.0000000000000162,4,6.0
2.0,4.0,1.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,10.505192530272781,0.9316666666666668,0.8691308558972557,1.7498862595611615,1.0,24.27358818804097,0.9466666666666667,0.8619764800745775,1.0,46.26191325833522,0.94875,0.8399668516938478,1.0,11.232098386731717,0.7672422245393173,1.0,10.505192530272781,0.8691308558972557,1.0,484.6842343503725,1.0,52.455138703843325,0.9507738095238095,1.0000000000000162,4,6.5
4.0,2.0,1.0,a10_hybrid_v2,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,30.50000775765027,0.9519642857142857,0.844721992208174,2.319544741464319,1.0,59.020749921518444,0.9610416666666667,0.8262010641939712,1.0,92.12849912113525,0.964375,0.8031257819524839,1.0,42.38786519349657,0.7022547116116009,1.0,30.50000775765027,0.844721992208174,1.0,1234.3072224196355,1.0,134.08163875928295,0.9602083333333332,1.0000000000000162,4,6.5
2.0,4.0,2.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,6.715444473624652,0.9197023809523809,0.7029067957706199,1.653090930958642,1.0,15.636419526362646,0.9339583333333333,0.6766181616674417,1.0,33.77134555030292,0.95125,0.6271394816604164,1.0,6.715444473624652,0.7029067957706199,1.0,8.442018296928557,0.8367254611575848,1.0,518.5995645741149,1.0,50.65097366010996,0.9501488095238095,1.0000000000000162,4,7.0
1.0,4.0,4.0,a10_hybrid,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,10.251941700197253,0.8921726190476191,0.6261041409434098,1.6775068572191247,1.0,22.474846943196837,0.9275,0.6056886060969409,1.0,45.24448568958081,0.9516666666666667,0.5725119209924353,1.0,10.251941700197253,0.6261041409434098,1.0,13.731453667552756,0.7779233833292175,1.0,416.5317538701976,1.0,70.80810633557903,0.9504464285714285,1.0000000000000162,4,7.0
