mode,n,finite_rate,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,max_Tc_p95,min_Es_p05,min_Pm_p05,mean_Y_final
a10_hybrid,432,1.0,1.0,1.0,221.62164725463182,176.69158665214445,510.88721761041785,579.9283817911065,0.9684548611111111,6.37264253712906,0.19229259559654652,0.6485661091109056,0.6493540037168649
pump_radiator,432,1.0,1.0,0.0,670.4616936629396,558.3484777979083,1422.797330021182,1604.6403366274274,0.9711072530864198,8.679840199930043,0.46,0.5422775441635563,1.000000000000016
pump_only,432,1.0,1.0,0.0,852.9510855798421,699.7464474005212,1777.0948791413996,1985.7298972688127,0.9708603395061728,9.301027649217385,0.46,0.6346750996451135,1.000000000000016
load_throttle,432,1.0,1.0,1.0,1064.2892987842638,895.917085928021,2213.359402072291,2467.856049394169,0.9714718364197531,10.737825919858436,0.46,0.65,0.5602957338650969
radiator_only,432,1.0,1.0,0.0,2580.1350387985117,2179.7397941824984,5331.580188391264,6013.6872129319,0.9739795524691358,15.692888241043025,0.46,0.65,1.000000000000016
no_control,432,1.0,1.0,0.0,3227.8071279735555,2741.849502698855,6516.993128408879,7101.918720715695,0.9742322530864198,17.562420083350716,0.46,0.65,1.000000000000016
