stress,mode,fail_Tc_mean,fail_Tp_mean,fail_Tr_mean,fail_Es_mean,fail_Pm_mean,fail_G_mean,fail_Y_mean,failure_mean,V_mean,V_median,unsafe_fraction_mean,Y_final_mean,max_Tc_mean,max_Tc_median,max_Tc_max,min_Es_mean,min_Es_min,min_Pm_mean,min_Pm_min
burst_heat,a10_hybrid,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,283.4146258546048,277.771608331346,0.9670486111111112,0.654924821047973,5.262309316196907,5.234929155995809,6.06523198615426,0.24314175226606993,0.2221502552050235,0.84,0.84
burst_heat,load_throttle,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1367.8602127722463,1336.443250673878,0.9706076388888888,0.5606033552593941,8.704164733471641,8.677460878592417,10.444314539367284,0.86,0.86,0.84,0.84
burst_heat,no_control,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4057.0054170302465,3869.006515056458,0.9732291666666667,1.0000000000000162,13.834525121417727,13.639490289579832,16.540087832624902,0.86,0.86,0.84,0.84
burst_heat,pump_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1081.116297035764,1083.5753664171918,0.969670138888889,1.0000000000000162,7.8389659835162275,7.877621454830927,9.513255088965554,0.86,0.86,0.84,0.84
burst_heat,pump_radiator,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,811.7533875541382,780.6780756479623,0.9692881944444444,1.0000000000000162,7.2536988460662535,7.136655190605679,8.401755255658223,0.86,0.86,0.84,0.84
burst_heat,radiator_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3140.644612973738,3115.0523485952276,0.9726736111111111,1.0000000000000162,12.441191779879988,12.424236565663461,14.659914991137118,0.86,0.86,0.84,0.84
combined_harsh,a10_hybrid,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,488.5732509225076,478.7233830793671,0.9746354166666666,0.5999058939840669,6.285654977009653,6.274571679190949,7.494701905203985,0.1937597817513773,0.1825039867647835,0.6346129825070417,0.5700933052600513
combined_harsh,load_throttle,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2096.3033918859396,2067.564480352674,0.9756423611111112,0.5588506298273862,10.600773523507529,10.576291087919168,12.395101175855055,0.62,0.62,0.65,0.65
combined_harsh,no_control,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6262.683463135115,6226.212515820922,0.9780208333333333,1.0000000000000162,17.354227250317766,17.367919142425755,19.455190984277237,0.62,0.62,0.65,0.65
combined_harsh,pump_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1711.5267632836494,1727.686275990342,0.9761979166666667,1.0000000000000162,9.126090791727814,9.209627264897659,10.647534405451667,0.62,0.62,0.6301221943502954,0.5646439361378224
combined_harsh,pump_radiator,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1366.8814369318573,1371.3833330293369,0.97640625,1.0000000000000162,8.590168224461944,8.606466090353162,10.041200960096456,0.62,0.62,0.547271252915216,0.4260026869664111
combined_harsh,radiator_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5109.294090265906,5103.262023453966,0.9780208333333333,1.0000000000000162,15.562190680319096,15.630710701561757,18.91583880834879,0.62,0.62,0.649367633878083,0.6313405459578765
