condition,stress_family,mode,n,finite_rate,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,max_Tp_p95,max_Tr_p95,min_Es_p05,min_Pm_p05,fail_Tc_rate,fail_Tp_rate,fail_Tr_rate,fail_Es_rate,fail_Pm_rate,fail_G_rate,fail_Y_rate
actuator_0p6,frontier,a10_robust_v3,32,1.0,0.96875,0.0,0.0679750594787783,0.05496189043214418,0.16305843203014844,0.1905994909132519,0.17903645833333331,0.8662642381914825,1.2218973228794219,0.984396996011237,0.7222808605893928,0.26185874882985233,0.72,0.96875,0.59375,0.0,0.0,0.0,0.0,0.0
actuator_0p6,frontier,a10_v4_balanced,32,1.0,0.96875,0.0,0.037587270648891676,0.03408956540431407,0.09978668253801729,0.11009694299785738,0.15479166666666666,0.8300102176801911,1.1807227799290634,0.954626934941519,0.7072452243116498,0.27974188700253927,0.72,0.96875,0.3125,0.0,0.0,0.0,0.0,0.0
actuator_0p6,frontier,a10_v4_safe,32,1.0,0.875,0.84375,0.015301533395520199,0.008141338367339044,0.06198843018027902,0.09181137967444569,0.12114583333333334,0.789691160762271,1.138372988544686,0.9302074588368718,0.702309773971405,0.2990645786407305,0.72,0.875,0.0625,0.0,0.0,0.0,0.0,0.84375
actuator_0p6,frontier,pump_radiator,32,1.0,1.0,0.0,1.7120400616106075,1.5984761601119546,3.667730553640364,4.3740222861036635,0.8888020833333332,1.0000000000000162,1.6744696534781138,1.3872762594345218,0.7487179134615964,0.72,0.72,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,harsh,a10_robust_v3,32,1.0,1.0,0.0,0.5281586566995458,0.46159062297676345,0.9532185855460044,1.0926125372251017,0.38916666666666666,0.820963383593276,1.4346311901181945,1.1533746364009716,0.8186585701822391,0.21191660839897414,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,harsh,a10_v4_balanced,32,1.0,1.0,0.875,0.4358587177312544,0.42350394015562337,0.8011230752530448,0.8719629943033642,0.3639322916666667,0.7860824785152554,1.4152601980778392,1.1286886017814586,0.8172505519125907,0.21902710091978805,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.875
actuator_0p6,harsh,a10_v4_safe,32,1.0,1.0,1.0,0.3188683443061252,0.2989601529619167,0.5533113938843969,0.6188171163946202,0.32671875,0.7430635704588324,1.3588985363505777,1.0972139260223446,0.7984950970830231,0.2315500304558256,0.6479898305798498,1.0,1.0,0.0,0.0,0.0,0.0,1.0
actuator_0p6,harsh,pump_radiator,32,1.0,1.0,0.0,6.256038547618138,5.689811002496612,10.573777618147677,11.397803877306025,0.9426822916666667,1.0000000000000162,2.0654285311509692,1.6779127808041656,0.8694214459057259,0.62,0.65,1.0,1.0,0.09375,0.0,0.0,0.1875,0.0
actuator_0p6,manageable,a10_robust_v3,224,1.0,0.25892857142857145,0.0,0.010861745742782161,0.0,0.08406691866797118,0.11856522073303714,0.037492559523809525,0.9008476053558864,1.1501346421712564,0.9115902563448351,0.6525358793679714,0.2566041243362272,0.84,0.25892857142857145,0.044642857142857144,0.0,0.0,0.0,0.0,0.0
actuator_0p6,manageable,a10_v4_balanced,224,1.0,0.24107142857142858,0.0,0.007133640242584037,0.0,0.057595455497148756,0.0803635046982189,0.033604910714285716,0.8598263806774844,1.1270037598983125,0.8964765437411043,0.647685250565802,0.2683096590145828,0.84,0.24107142857142858,0.017857142857142856,0.0,0.0,0.0,0.0,0.0
