mode,stress,seed,finite_ok,failure,throughput_fail,V,unsafe_fraction,max_Tc,max_Tp,max_Tr,min_Es,min_Pm,max_G,Y_final
no_control,nominal,1501552845,True,True,False,1688.3747939462723,0.9708333333333333,10.316943330719129,4.33121891748375,1.2723790051415231,0.86,0.84,8.650980241586485,1.0000000000000162
no_control,nominal,488200390,True,True,False,2403.5959648977455,0.9733333333333334,12.1553018454922,4.260255640474223,1.2141752693345207,0.86,0.84,10.617664969637103,1.0000000000000162
no_control,nominal,1693606510,True,True,False,2275.0176046651495,0.9733333333333334,11.920039006544085,4.323350820789979,1.3023672099323629,0.86,0.84,10.285970307150977,1.0000000000000162
no_control,nominal,680233354,True,True,False,3069.61903431243,0.9775,13.412970076310703,5.249959528119016,1.3280586961047112,0.86,0.84,11.596491877821348,1.0000000000000162
no_control,nominal,438466540,True,True,False,2088.568356223696,0.9733333333333334,11.313557452132935,4.1010049166208375,1.2682973462814562,0.86,0.84,9.748202827880442,1.0000000000000162
no_control,nominal,1712329280,True,True,False,2351.852896104426,0.9741666666666666,11.981083922866041,4.528221508209713,1.2535100660116856,0.86,0.84,10.34296011141974,1.0000000000000162
no_control,nominal,1380152455,True,True,False,2457.726101631257,0.975,12.238493529785085,4.6344131929771875,1.3405872898702291,0.86,0.84,10.515217875657969,1.0000000000000162
no_control,nominal,1452245846,True,True,False,2574.645895069207,0.975,12.439467182380634,4.824599667541458,1.2322084705461944,0.86,0.84,10.763309727821245,1.0000000000000162
no_control,nominal,2122694021,True,True,False,2147.2663117563684,0.9733333333333334,11.483584045685035,4.323155992009557,1.253801066874772,0.86,0.84,9.87877754910172,1.0000000000000162
no_control,nominal,839901363,True,True,False,2183.1776230852533,0.9733333333333334,11.619630791922974,4.369289217100769,1.313715084740254,0.86,0.84,9.95914085882753,1.0000000000000162
no_control,nominal,1802651552,True,True,False,2272.0406723399055,0.9741666666666666,11.807998172166517,4.512271685471707,1.3042884232352063,0.86,0.84,10.127488237741478,1.0000000000000162
no_control,nominal,714712467,True,True,False,2261.6156226255034,0.9725,11.895405704795227,4.498936955180946,1.2382763914823836,0.86,0.84,10.266014600555177,1.0000000000000162
no_control,nominal,1218704077,True,True,False,1699.9224698373062,0.9708333333333333,10.368261758090707,4.442252200853043,1.2560480049729201,0.86,0.84,8.688250510179238,1.0000000000000162
no_control,nominal,1284858263,True,True,False,2741.9021975815376,0.9758333333333333,12.81158673692796,4.828992039363973,1.241804392016625,0.86,0.84,11.140533667591452,1.0000000000000162
no_control,nominal,457721135,True,True,False,2307.0365065919846,0.975,11.747925377279987,4.471176510454804,1.2358034290212587,0.86,0.84,10.13630925011492,1.0000000000000162
no_control,nominal,401008609,True,True,False,2022.767663891811,0.9725,11.189250788285038,4.220414670027441,1.2525099967288909,0.86,0.84,9.599738527555504,1.0000000000000162
no_control,nominal,492064534,True,True,False,1698.9000987484976,0.9691666666666666,10.473994250136494,3.9309231464849503,1.2259203619317565,0.86,0.84,8.943650950049696,1.0000000000000162
no_control,nominal,1444732602,True,True,False,1952.6721993786095,0.9725,10.970817136925703,4.029327830175352,1.22269792825415,0.86,0.84,9.446363906631172,1.0000000000000162
