rad_scale,transport_scale,storage_scale,mode,stress,n,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,min_Es_p05,min_Pm_p05
24.0,12.0,1.0,a10_hybrid,burst_heat,64,0.6875,0.0,0.007545875749658196,0.001150035580471393,0.042912156111645526,0.05730489929327062,0.09537760416666666,0.8767550209796013,1.098104035568386,0.5208527596855151,0.84
24.0,12.0,1.0,a10_hybrid,combined_harsh,64,1.0,0.09375,0.1887616583347815,0.16975652532649416,0.3919004359946228,0.4252465393824317,0.29364583333333333,0.8162505514059728,1.2837234399306128,0.305594271026115,0.6042330101834003
24.0,12.0,1.0,a10_hybrid,combined_moderate,64,0.75,0.0,0.008131928787341501,0.001181248120657969,0.04376517517138846,0.05560636349395399,0.10201822916666667,0.849711511157464,1.107771422377138,0.39674303207520817,0.72
24.0,12.0,1.0,a10_hybrid,eclipse_transition,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9016753485542601,0.8969387573129765,0.59041130144586,0.84
24.0,12.0,1.0,a10_hybrid,nominal,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9004702551895267,0.9048075367054571,0.5672647258780035,0.84
24.0,12.0,1.0,a10_hybrid,power_shortage,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8937562231341543,0.9045711856097312,0.5647486205455288,0.84
24.0,12.0,1.0,a10_hybrid,radiator_degradation,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8738584682922874,0.9245179802460743,0.5108842116222653,0.84
24.0,12.0,1.0,a10_hybrid,solar_heating,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8926290157237186,0.9067964687151667,0.552856633165742,0.84
24.0,12.0,1.0,a10_hybrid,storage_saturation,64,0.265625,0.0,0.0006710414294982901,0.0,0.005038037776050101,0.0071140876907424735,0.03462239583333333,0.8765492366899164,1.0350628248319629,0.3125829322791076,0.84
24.0,12.0,1.0,a10_hybrid_v2,burst_heat,64,0.4375,0.0,0.0033737759785758365,0.0,0.023794401482054722,0.030831910384682637,0.058164062499999995,0.9403172680004315,1.0928615339138252,0.5953435723846195,0.84
