condition,stress_family,mode,n,finite_rate,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,max_Tp_p95,max_Tr_p95,min_Es_p05,min_Pm_p05,fail_Tc_rate,fail_Tp_rate,fail_Tr_rate,fail_Es_rate,fail_Pm_rate,fail_G_rate,fail_Y_rate
baseline,manageable,a10_v4_safe,224,1.0,0.03125,0.0,4.697635163193645e-05,0.0,4.697635163193645e-05,4.697635163193645e-05,0.0030505952380952,0.9647066241046964,0.9916729226403108,0.8240532531356405,0.6357595582671218,0.2532431816000059,0.84,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
sensor_delay_0p5,manageable,a10_v4_safe,224,1.0,0.0223214285714285,0.0,1.1430421047990974e-06,0.0,1.1430421047990974e-06,1.1430421047990974e-06,0.001078869047619,0.9289897933948682,0.9772247691730264,0.823064834378897,0.6312403275766943,0.2494118751445713,0.84,0.0223214285714285,0.0,0.0,0.0,0.0,0.0,0.0
sensor_delay_1p0,manageable,a10_v4_balanced,224,1.0,0.0089285714285714,0.0,4.495577230616535e-06,0.0,4.495577230616535e-06,4.495577230616535e-06,0.0009114583333333,0.8987424205441398,0.9510839415657636,0.8108557540050374,0.6353691055343836,0.2338389694454237,0.8281161725276169,0.0089285714285714,0.0,0.0,0.0,0.0,0.0,0.0
actuator_0p8,manageable,a10_v4_safe,224,1.0,0.0848214285714285,0.0,0.0005016336787296,0.0,0.0005016336787296,0.0089991582468983,0.0101822916666666,0.8956111338623316,1.028617113376057,0.8407422849375571,0.6360177653959183,0.2664745825369304,0.84,0.0848214285714285,0.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,manageable,a10_v4_safe,224,1.0,0.21875,0.1071428571428571,0.0043084519361532,0.0,0.0388744836729883,0.0605074504424204,0.0251934523809523,0.8208921093531449,1.094785800628294,0.8718217669466162,0.642111721289201,0.2740244169288023,0.84,0.1875,0.0133928571428571,0.0,0.0,0.0,0.0,0.1071428571428571
