rad_scale,transport_scale,storage_scale,mode,stress,n,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,min_Es_p05,min_Pm_p05
1.0,2.0,1.0,a10_hybrid,burst_heat,4,1.0,1.0,91.74705287441044,91.90561022346068,92.70035729735005,92.70035729735005,0.9552083333333334,0.6839535063840525,3.8224483322195955,0.2722402829637284,0.84
1.0,2.0,1.0,a10_hybrid,combined_harsh,4,1.0,1.0,155.10927701725444,161.5763493299113,176.32163272776913,176.32163272776913,0.9658333333333333,0.6307297230894113,4.524975494163844,0.21178887699224022,0.595358258670135
1.0,2.0,1.0,a10_hybrid,combined_moderate,4,1.0,1.0,94.62811186828709,91.09967431999101,110.18296697923665,110.18296697923665,0.9608333333333333,0.669018541919654,3.73511332227012,0.23281785022051454,0.72
1.0,2.0,1.0,a10_hybrid,eclipse_transition,4,1.0,1.0,35.055795904911975,36.30010880450807,37.475632152223305,37.475632152223305,0.9554166666666666,0.7172251360051749,2.3695966221241354,0.2796990178971211,0.84
1.0,2.0,1.0,a10_hybrid,nominal,4,1.0,1.0,40.69296372347114,39.796066726693084,53.685519500833614,53.685519500833614,0.9568749999999999,0.7130519291414801,2.5459787253471253,0.27140597909955455,0.84
1.0,2.0,1.0,a10_hybrid,power_shortage,4,1.0,1.0,44.31559556877484,50.10356507800652,63.05793570826326,63.05793570826326,0.9579166666666666,0.7160823613252354,2.6278040574945676,0.2640024098078348,0.7006587664344334
1.0,2.0,1.0,a10_hybrid,radiator_degradation,4,1.0,1.0,47.14388553312563,45.69696080141121,61.542339248004566,61.542339248004566,0.9550000000000001,0.7122641309431277,2.640472389388155,0.24968957589823848,0.84
1.0,2.0,1.0,a10_hybrid,solar_heating,4,1.0,1.0,52.063996549945095,52.178980096598636,60.27849523350404,60.27849523350404,0.9597916666666666,0.700689087647711,2.6101272519954284,0.27140200273581744,0.84
1.0,2.0,1.0,a10_hybrid,storage_saturation,4,1.0,1.0,63.685102080007255,57.1571133575563,87.1159868456847,87.1159868456847,0.9566666666666668,0.6232289003474609,3.5584371586545434,0.2109316231866012,0.84
1.0,2.0,1.0,a10_hybrid_v2,burst_heat,4,1.0,0.0,61.52754769227979,55.044435085124675,92.83124840140485,92.83124840140485,0.9489583333333333,0.8368658761840067,3.736892195347688,0.2816239945575379,0.84
