condition,stress_family,mode,n,finite_rate,failure_rate,throughput_failure_rate,mean_V,median_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,mean_Y_final,max_Tc_p95,max_Tp_p95,max_Tr_p95,min_Es_p05,min_Pm_p05,fail_Tc_rate,fail_Tp_rate,fail_Tr_rate,fail_Es_rate,fail_Pm_rate,fail_G_rate,fail_Y_rate
actuator_0p6,frontier,a10_full,32,1.0,1.0,0.0,0.09860038962051351,0.0685991325539846,0.2570658973615593,0.3357364177721269,0.20473958333333334,0.8910333667207468,1.2529426527506535,1.0190804530900373,0.7363463870985081,0.24966313528507805,0.72,1.0,0.78125,0.0,0.0,0.0,0.0,0.0
actuator_0p6,frontier,a10_no_load,32,1.0,1.0,0.0,0.18692099127788156,0.1789487646626237,0.4204612036063895,0.48052262244666205,0.25106770833333336,1.0000000000000162,1.3298688923571222,1.055485657518192,0.738883666629331,0.23580630545330142,0.72,1.0,0.9375,0.0,0.0,0.0,0.0,0.0
actuator_0p6,frontier,a10_no_store,32,1.0,1.0,0.0,0.15678025933943668,0.13925228289612365,0.33329184252034616,0.3612856404541569,0.23768229166666668,0.8926811551831666,1.293413335146961,1.043648844679073,0.7398324990932279,0.72,0.72,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,frontier,a10_no_valve,32,1.0,1.0,0.0,0.6599548060422739,0.5469227358151518,1.6553073502586009,1.9611274547148747,0.44135416666666666,0.8578602634370367,1.5268045962917882,1.2956837799266059,0.7260589803516224,0.20721878025305565,0.72,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,frontier,a10_v1,32,1.0,1.0,0.6875,0.08920878970324823,0.0792611301854122,0.19996639363845597,0.2327353065235467,0.18427083333333333,0.7924889103997612,1.230093750189172,0.9975255970584388,0.7133927518600127,0.2243859964454346,0.72,1.0,0.75,0.0,0.0,0.0,0.0,0.6875
actuator_0p6,frontier,no_control,32,1.0,1.0,0.0,35.96160219436598,36.4631769396912,57.49151844615361,62.01223724841249,0.9633072916666666,1.0000000000000162,3.3387397568296366,1.6139626515221233,0.833280828579871,0.72,0.72,1.0,1.0,0.0,0.0,0.0,1.0,0.0
actuator_0p6,frontier,pump_radiator,32,1.0,1.0,0.0,1.6758680346904766,1.4260318134152339,3.7312016003619837,4.623888300291908,0.886484375,1.0000000000000162,1.6808336959762367,1.370076976016062,0.7461045121770441,0.72,0.72,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,harsh,a10_full,32,1.0,1.0,0.0,0.6844979262495587,0.6623825775829328,1.139598268358668,1.2425773498213109,0.43286458333333333,0.8439727010626488,1.4730075910483003,1.1796855586715265,0.8140421835213261,0.20803828765203275,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,harsh,a10_no_load,32,1.0,1.0,0.0,1.1670687758802343,1.0527291003215882,2.123893248535786,2.4066125952707162,0.6461979166666667,1.0000000000000162,1.6003555547756754,1.2446730321128072,0.8490275599907214,0.2001343939273376,0.6459455645539175,1.0,1.0,0.03125,0.0,0.0,0.0,0.0
actuator_0p6,harsh,a10_no_store,32,1.0,1.0,0.0,1.0079569635626935,0.9469956189490586,2.2364505768720027,2.3891077715024123,0.6041145833333333,0.8788331208720777,1.6101253181694217,1.2596864024399095,0.8344935586955597,0.62,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,harsh,a10_no_valve,32,1.0,1.0,0.0,2.7495859449850446,2.585071346362971,4.4105891960366375,4.616277171671811,0.8630729166666666,0.8161108993244061,1.7766053542531126,1.4704640249453642,0.807651894437648,0.186028250475601,0.6482838527287902,1.0,1.0,0.0,0.0,0.0,0.0,0.0
actuator_0p6,harsh,a10_v1,32,1.0,1.0,1.0,0.5613947048672425,0.5516080539291034,0.8715062141272972,0.9688023153120129,0.42614583333333333,0.7113425669114017,1.4158695541613584,1.1472714268866728,0.8021921051489294,0.19075158798025021,0.65,1.0,1.0,0.0,0.0,0.0,0.0,1.0
actuator_0p6,harsh,no_control,32,1.0,1.0,0.0,69.19608789165065,65.28619530972166,105.88647199174285,113.48976862627705,0.9683593749999999,1.0000000000000162,4.126968521070911,1.8957239755114073,0.9433153131402183,0.62,0.65,1.0,1.0,0.84375,0.0,0.0,1.0,0.0
actuator_0p6,harsh,pump_radiator,32,1.0,1.0,0.0,6.088379419572396,6.041599362808391,10.335145873325036,11.681677377535785,0.9411458333333333,1.0000000000000162,2.0784684965995117,1.675822258927641,0.8533639569122543,0.62,0.65,1.0,1.0,0.03125,0.0,0.0,0.15625,0.0
actuator_0p6,manageable,a10_full,224,1.0,0.27232142857142855,0.0,0.016901054824618972,0.0,0.12309947510102731,0.172248799975062,0.042659970238095236,0.9244229044043243,1.1715913575648713,0.9457309878478263,0.6670207123580726,0.25031745300857466,0.84,0.27232142857142855,0.10714285714285714,0.0,0.0,0.0,0.0,0.0
actuator_0p6,manageable,a10_no_load,224,1.0,0.2857142857142857,0.0,0.03820458307414194,0.0,0.24254479320601363,0.30894961875198823,0.04970982142857143,1.0000000000000162,1.2537722477455182,0.9974842840725524,0.6771666255285343,0.24097005668796254,0.84,0.2857142857142857,0.1875,0.0,0.0,0.0,0.0,0.0
actuator_0p6,manageable,a10_no_store,224,1.0,0.2857142857142857,0.0,0.030746849530970937,0.0,0.20957579310833263,0.25341909490734754,0.04991071428571429,0.9191138775441549,1.2493424504554302,0.9953335800375219,0.6767098671296841,0.46,0.84,0.2857142857142857,0.17410714285714285,0.0,0.0,0.0,0.0,0.0
actuator_0p6,manageable,a10_no_valve,224,1.0,0.3125,0.0,0.1400588894539275,0.0,0.7740071089642974,0.9485458822903325,0.07465773809523811,0.8987981083432695,1.4247223251857979,1.1841343938024433,0.6516207000541199,0.21450346531609785,0.84,0.3125,0.29017857142857145,0.0,0.0,0.0,0.0,0.0
actuator_0p6,manageable,a10_v1,224,1.0,0.2857142857142857,0.08035714285714286,0.018041035639212704,0.0,0.1380210964290697,0.18801919402221526,0.04524181547619048,0.8501564333581054,1.2027241434861704,0.947150021923584,0.6615666324814172,0.22693063315537415,0.84,0.28125,0.09375,0.0,0.0,0.0,0.0,0.08035714285714286
actuator_0p6,manageable,no_control,224,1.0,1.0,0.0,16.177755691874147,13.005550554444296,37.663499128268214,42.07330492355588,0.9571986607142857,1.0000000000000162,3.180372886938265,1.5278786549931773,0.7488141758705448,0.46,0.84,1.0,0.9464285714285714,0.0,0.0,0.0,0.7991071428571429,0.0
actuator_0p6,manageable,pump_radiator,224,1.0,0.6830357142857143,0.0,0.4056678606306535,0.02069228969562397,1.9852738892390636,2.3736000171727727,0.496547619047619,1.0000000000000162,1.6458890706179066,1.3223929285777538,0.6906049392183311,0.46,0.84,0.6830357142857143,0.41964285714285715,0.0,0.0,0.0,0.0,0.0
actuator_0p6,out_of_sample,a10_full,160,1.0,0.8,0.0,0.03994313742274343,0.018076363088184635,0.1620676058465943,0.19478988962191895,0.13655208333333332,0.9018638420670235,1.2185779391703495,0.9898437497034581,0.7492714430962879,0.24996455093047593,0.72,0.8,0.45,0.0,0.0,0.0,0.0,0.0
