rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_throughput_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
24.0,12.0,1.0,a10_hybrid,0.13616071428571427,0.0,0.009202712426287585,0.018571428571428572,0.8879562240804949,0.952971255569965,0.75,0.05560636349395399,0.10201822916666667,0.849711511157464,1.107771422377138,1.0,0.4252465393824317,0.29364583333333333,0.8162505514059728,1.2837234399306128
24.0,12.0,1.0,a10_hybrid_v2,0.07142857142857142,0.0,0.0044647637786316054,0.009319196428571428,0.949388017306412,0.935082483311444,0.4375,0.04977089582441552,0.05841145833333333,0.9236582643756175,1.086612941894258,1.0,0.35438296320628293,0.24503906250000002,0.9004552454279429,1.2600666621359011
24.0,12.0,1.0,no_control,1.0,0.0,26.91988728457533,0.9573307291666666,1.0000000000000162,2.273979785431959,1.0,59.067936816150265,0.9634505208333334,1.0000000000000162,3.2132146095524305,1.0,99.15163981075534,0.9673307291666666,1.0000000000000162,3.985934148007324
24.0,12.0,1.0,pump_radiator,0.3325892857142857,0.0,0.3464956107351223,0.11068452380952383,1.0000000000000162,1.114406884071571,1.0,1.1842603635738866,0.5118359375,1.0000000000000162,1.4146623173256923,1.0,5.301138391120039,0.9014973958333334,1.0000000000000162,1.7526939010097298
24.0,12.0,2.0,a10_hybrid,0.12276785714285714,0.0,0.006067209187571284,0.014873511904761905,0.8896845175186774,0.9522506954324029,0.6875,0.04155662322794256,0.09231770833333333,0.84494422130038,1.0888980971939344,1.0,0.336894736749275,0.23811197916666668,0.777844149287597,1.2658406240213358
24.0,12.0,2.0,a10_hybrid_v2,0.05803571428571429,0.0,0.0026672582869282967,0.006850818452380953,0.9511049509801835,0.9296681435947612,0.4375,0.01484507734202971,0.058932291666666664,0.9238964869683083,1.0589718553933525,1.0,0.3709769509552763,0.23104166666666665,0.8902610965163438,1.2609522986679604
24.0,12.0,2.0,no_control,1.0,0.0,28.598758085505203,0.9573902529761904,1.0000000000000162,2.29746146138559,1.0,55.26314325861045,0.9628255208333334,1.0000000000000162,3.216742599867406,1.0,99.58027663469213,0.9670442708333334,1.0000000000000162,3.915703855899141
24.0,12.0,2.0,pump_radiator,0.33035714285714285,0.0,0.3380538539020179,0.10856026785714287,1.0000000000000162,1.1178058778739925,1.0,1.335941059031171,0.5056640625,1.0000000000000162,1.423625270828323,1.0,6.941680886018521,0.8936588541666668,1.0000000000000162,1.7828559420214392
24.0,12.0,4.0,a10_hybrid,0.13616071428571427,0.05357142857142857,0.003887123441056894,0.009218750000000001,0.8771471575030337,0.9378940266257267,0.515625,0.01282002380925742,0.056236979166666666,0.8052802285444638,1.0470613637004222,1.0,0.16498755156207723,0.19911458333333334,0.7195350064949395,1.188848095407492
24.0,12.0,4.0,a10_hybrid_v2,0.044642857142857144,0.0,0.0013548924258619099,0.004246651785714285,0.9486753776898534,0.9234815669274343,0.3125,0.015555442065974603,0.03208333333333334,0.9093346224105734,1.0525540527380506,1.0,0.19971950920643877,0.18565104166666668,0.8507935622261867,1.2094208607798116
24.0,12.0,4.0,no_control,1.0,0.0,28.88542051351908,0.957466517857143,1.0000000000000162,2.3024811584427636,1.0,58.0000689278891,0.9632942708333334,1.0000000000000162,3.2913097755661895,1.0,94.76294476417968,0.966875,1.0000000000000162,3.876979334043931
24.0,12.0,4.0,pump_radiator,0.3236607142857143,0.0,0.3170422396574461,0.10072172619047619,1.0000000000000162,1.1079103725461332,1.0,1.5706818050634261,0.5636197916666666,1.0000000000000162,1.4496059642363608,1.0,5.828895678944226,0.8889322916666668,1.0000000000000162,1.7503565782329777
