mode,fail_Tc_mean,fail_Tp_mean,fail_Tr_mean,fail_Es_mean,fail_Pm_mean,fail_G_mean,fail_Y_mean,failure_mean,V_mean,V_median,unsafe_fraction_mean,Y_final_mean,max_Tc_mean,max_Tc_median,max_Tc_max,min_Es_mean,min_Es_min,min_Pm_mean,min_Pm_min
a10_hybrid,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,221.62164725463185,176.69158665214445,0.9684548611111111,0.6493540037168649,4.312821124991722,3.8080856741192797,7.494701905203985,0.24883114023510264,0.1825039867647835,0.8015925767307613,0.5700933052600513
load_throttle,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1064.2892987842638,895.917085928021,0.9714718364197531,0.5602957338650969,8.018513365037304,7.723381129380259,12.395101175855055,0.7733333333333333,0.46,0.8055555555555556,0.65
no_control,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3227.8071279735555,2741.849502698855,0.9742322530864198,1.0000000000000162,13.092099277534155,12.60944258364088,19.455190984277237,0.7733333333333333,0.46,0.8055555555555556,0.65
pump_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,852.951085579842,699.7464474005212,0.9708603395061729,1.0000000000000162,6.643643243619388,6.198146784360051,10.647534405451667,0.7733333333333333,0.46,0.7997990885837283,0.5646439361378224
pump_radiator,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,670.4616936629395,558.3484777979083,0.9711072530864198,1.0000000000000162,6.085388873809074,5.615427263116121,10.041200960096456,0.7733333333333333,0.46,0.7780812841425606,0.4260026869664111
radiator_only,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2580.1350387985117,2179.7397941824984,0.9739795524691358,1.0000000000000162,11.527591560494454,11.076277303226512,18.91583880834879,0.7733333333333333,0.46,0.8054411119452709,0.6313405459578765
