rad_scale,transport_scale,storage_scale,regime,a10_manage_failure,a10_manage_CVaR95,a10_manage_unsafe,a10_manage_Y,a10_manage_Tc95,a10_frontier_failure,a10_frontier_CVaR95,a10_frontier_unsafe,a10_frontier_Y,a10_harsh_failure,a10_harsh_CVaR95,a10_harsh_unsafe,a10_harsh_Y,no_control_manage_failure,pump_radiator_manage_failure,pump_radiator_manage_CVaR95,pump_radiator_frontier_CVaR95,pump_radiator_frontier_unsafe,regime_order,resource_score
1.0,1.0,1.0,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,215.9555102156107,0.9671726190476191,0.6586473069505183,4.200240563429563,1.0,414.3971190776342,0.9720833333333334,0.6324865853180359,1.0,527.7484959849561,0.9730208333333333,0.6052785445818119,1.0,1.0,712.5576092630854,971.2627324801243,0.9727083333333333,3,2.5
1.0,1.5,1.0,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,117.8648555936444,0.9619940476190477,0.6763710516116118,3.4142293158561374,1.0,218.6866494076127,0.9673958333333333,0.6498325709371957,1.0,318.3604273334693,0.9716666666666667,0.6140884578208725,1.0,1.0,372.7873846850216,629.8663230607766,0.9721875,3,3.0
1.0,1.0,2.0,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,181.7572353235403,0.9668749999999999,0.60670384656001,3.8944943986507568,1.0,282.3297822829893,0.9720833333333334,0.5816753284121703,1.0,449.4873531023102,0.9721875,0.5631818807104464,1.0,1.0,684.0831035192022,1129.1544829682323,0.9745833333333334,3,3.0
1.0,2.0,1.0,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,58.96908812751496,0.9544345238095239,0.7059912720319359,2.808032138613579,1.0,162.84351505847926,0.9653125,0.6621471573007385,1.0,226.82576275775475,0.9663541666666666,0.626260732493142,1.0,1.0,234.6464417938183,409.8912953691789,0.96625,3,3.5
1.0,1.5,2.0,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,81.84015852960486,0.9611011904761906,0.6209114566970614,3.0832542945144814,1.0,157.30800466883025,0.9659375,0.5954111831220965,1.0,225.65435471568762,0.9694791666666667,0.5681058452700253,1.0,1.0,350.50420219168575,664.2621644628614,0.9708333333333333,3,3.5
2.0,1.0,1.0,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,204.9637780896388,0.967232142857143,0.6617229117547916,4.106352494215423,1.0,315.43813262204117,0.9703125,0.6416166760549337,1.0,596.4534496486114,0.975625,0.6013926717703049,1.0,1.0,672.9818436216361,1065.4675918916057,0.9733333333333334,3,3.5
1.0,2.0,2.0,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,47.34649087678902,0.953422619047619,0.65198564198725,2.60121983449203,1.0,88.40345865394713,0.963125,0.5997562657089588,1.0,142.35022665172653,0.9660416666666667,0.5710806123219366,1.0,1.0,231.72142020720955,336.85028647055657,0.9667708333333334,3,4.0
2.0,1.5,1.0,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,99.45427923370542,0.9620238095238093,0.6774857883080176,3.25704131668452,1.0,189.2046225870125,0.96875,0.6544924624485281,1.0,316.8899644892671,0.9727083333333334,0.6163767339824939,1.0,1.0,355.3013819854081,602.8993672122842,0.9729166666666667,3,4.0
2.0,1.0,2.0,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,179.69618456096742,0.9680357142857142,0.6081666769313882,3.8568712198661275,1.0,264.2480278992759,0.9694791666666667,0.5896025823341522,1.0,381.0024474662371,0.9728125,0.5645869137590633,1.0,1.0,670.8050069795423,1261.1212040932687,0.9734375,3,4.0
1.0,3.0,1.0,DAMAGE-LIMITING-NOT-MISSION-FEASIBLE,1.0,31.481851452282168,0.9425892857142857,0.7469667027894185,2.2320408923200636,1.0,71.64336394073491,0.9566666666666666,0.6906321398376211,1.0,125.15875738985802,0.9597916666666666,0.6482732830440558,1.0,1.0,111.14196431465926,188.82729979383925,0.9614583333333333,3,4.5
