stress,mode,n,finite_rate,failure_rate,mean_V,CVaR90_V,CVaR95_V,mean_unsafe_fraction,max_Tc_p95,min_Es_p05,min_Pm_p05,mean_Y_final
burst_heat,a10_hybrid,48,1.0,1.0,283.4146258546048,397.62080645932195,405.86254165879285,0.9670486111111111,6.041309499290839,0.22554324477143842,0.84,0.6549248210479729
burst_heat,pump_radiator,48,1.0,1.0,811.7533875541384,1098.3359432504317,1129.0996437601884,0.9692881944444446,8.186121471895119,0.86,0.84,1.0000000000000162
burst_heat,pump_only,48,1.0,1.0,1081.116297035764,1443.357178788628,1522.0283119422554,0.969670138888889,8.673418841348342,0.86,0.84,1.0000000000000162
burst_heat,load_throttle,48,1.0,1.0,1367.8602127722463,1977.2067253748974,2050.943795941425,0.970607638888889,10.165162509459641,0.86,0.84,0.5606033552593941
burst_heat,radiator_only,48,1.0,1.0,3140.644612973738,4143.730274402362,4314.922585696801,0.9726736111111111,14.025049086214844,0.86,0.84,1.0000000000000162
burst_heat,no_control,48,1.0,1.0,4057.0054170302465,5460.964778828091,5627.884060255127,0.9732291666666667,15.758770488983908,0.86,0.84,1.0000000000000162
combined_harsh,a10_hybrid,48,1.0,1.0,488.5732509225076,674.8135472354339,705.5265385286442,0.9746354166666666,7.031621373294519,0.18561312801567734,0.5790660646097787,0.5999058939840669
combined_harsh,pump_radiator,48,1.0,1.0,1366.8814369318573,1866.8368651029364,1909.9756789326245,0.97640625,9.72052122436359,0.62,0.4781165847664633,1.0000000000000162
combined_harsh,pump_only,48,1.0,1.0,1711.5267632836494,2315.54155087871,2396.849462370112,0.9761979166666667,10.365196018561237,0.62,0.5791850787575448,1.0000000000000162
combined_harsh,load_throttle,48,1.0,1.0,2096.303391885939,2793.739315883784,2860.5740349334505,0.9756423611111112,11.92132111401688,0.62,0.65,0.5588506298273862
combined_harsh,radiator_only,48,1.0,1.0,5109.294090265906,7151.156859325402,7434.000511458634,0.9780208333333333,18.150181122744673,0.62,0.6467546541411533,1.0000000000000162
combined_harsh,no_control,48,1.0,1.0,6262.683463135115,7810.589754835251,7975.90128413957,0.9780208333333333,19.173275555071235,0.62,0.65,1.0000000000000162
combined_moderate,a10_hybrid,48,1.0,1.0,293.4048077547398,418.30012049692766,434.228884713189,0.9705381944444446,5.651556800709428,0.20779378611112492,0.72,0.6368170586348988
combined_moderate,pump_radiator,48,1.0,1.0,888.7112782923296,1201.0990862091876,1253.7063000508156,0.9738541666666666,7.678995629105892,0.72,0.7111264204132545,1.0000000000000162
combined_moderate,pump_only,48,1.0,1.0,1081.8823180155225,1369.9911499893253,1392.201149993176,0.9727951388888889,8.10853983211716,0.72,0.72,1.0000000000000162
combined_moderate,load_throttle,48,1.0,1.0,1383.1525086200534,1859.0238232864817,1902.3945110422126,0.9736284722222223,10.210350153635627,0.72,0.72,0.5595571508498846
combined_moderate,radiator_only,48,1.0,1.0,3328.011081662124,4355.0570990480865,4465.212721715318,0.9759895833333334,14.460183535752249,0.72,0.72,1.0000000000000162
combined_moderate,no_control,48,1.0,1.0,4075.8195652109607,5827.6291185013615,6072.768224815892,0.9758680555555556,17.3301758852251,0.72,0.72,1.0000000000000162
